;11-501;11-502;11-503;11-504;11-505;11-506;11-507;11-511;11-512; 11-541;11-521;11-522;11-531;11-400 ;11-401;11-402;11-403;11-404;11-405;11-406;11-407;11-408;11-409;11-411 ;11-412 ;11-413а ;11-301;11-302;11-303;11-304;11-305;11-306;11-307;11-308;11-311 ;11-312 ;11-314а;11-200;11-201;11-202;11-203;11-204;11-205;11-206;11-207;11-208;11-209;11-210 ;11.1-521;11.1-522;11.1-531;11.1-541;11.1-551;11.1-552;11.1-561;11.1-571
Инновационная экономика и технологическое предпринимательство,


;;Управление проектами,



Управление качеством разработки ПО, Хисамутдинов А.Э.  1307;;;;Дисциплины по выбору:





;;;Методология научной деятельности,



;;;;;;;;;                     
15.50-17.20;Философия,



Алгоритмы и структуры данных,

Информатика и программирование, 


Дискретная математика,

Иностранный язык



;Иностранный язык



Философия,


;Философия,





Иностранный язык,


;Компьютерная математика, практ.


Дисциплины по выбору:

;;;;;;;;;Инновационная экономика и технологическое предпринимательство,


Инновационная экономика и технологическое предпринимательство,


Иностранный язык,





Управление проектами,


;Управление качеством разработки ПО, Хисамутдинов А.Э.  1307;Инновационная экономика и технологическое предпринимательство,


         Архитектура программных систем,


;;;Практикум по управлению разработкой ПО,


;Дисциплины по выбору:





;;;;;;;;;;;Правовые основы информатизации практика Никитин Д.В. по неч.нед. в ауд.1509;Правовые основы информатизации практика Никитин Д.В. по ч.нед в ауд.1509;;Средства и инструменты программной инженерии Кугуракова В.В.по н.н. лекц. по ч.н. прак. в 1408;Методология научных  исследований Осокин С.И. по н.н. лекц. по ч.н. прак. (вебинары);;Введение в искусственный интеллект Мухамеджанов А.И.в 1508
17.30-19.00;Информатика и программирование, Абрамский М.М., ауд. 109 
;;;;;;;;Иностранный язык,


Русский язык и культура речи,


;;Дисциплины по выбору:

;;;;;;;;;Основы финансовой грамотности,


Основы финансовой грамотности,


Инновационная экономика и технологическое предпринимательство,


Дисциплины по выбору:






;;;;;;;Управление проектами,


;Дисциплины по выбору:





;;;;;;;;;;;Средства и инструменты программной инженерии Архипов К. по неч. нед. лекция в ауд. 1310-1311 (  по чет.нед. практика  вебинары) ( 9.04 в онлайн https://my.mts-link.ru/j/MTC/16653085331;;Инженерия приложений и инженерия предметной области Магид Е.А.(Загиров А.) ( лекц. по н.н. ,прак. по ч.н.) в 1405 ;Трехмерное моделирование(34ч.) Газизов Р.Р.в ауд.1408;Правовые аспекты использования систем искусственного интеллекта Старостина Е.С.  (Лекц. по н.н. практ. по ч.н.)

;Средства и инструменты программной инженерии Архипов К. по неч. нед. лекция в ауд. 1310-1311 (  по чет.нед. практика вебинары) ( 9.04 в онлайн https://my.mts-link.ru/j/MTC/16653085331
19.10-20.40;;;;;;;;;;;;;;Технологическая (проектно-технологическая) практика


;;;;;;;;;Технологическая (проектно-технологическая) практика;;Технологическая (проектно-
Дисциплины по выбору:






;;;;;;; Технологическая (проектно-технологическая) практика DML четн. нед.
;;;;;;;;;;;;;Средства и инструменты программной инженерии Архипов К. по неч. нед. практика в ауд.1310-1311 (по чет.нед. практика вебинары) (.9.04 в онлайн https://my.mts-link.ru/j/MTC/16653085331;;;Дизайн уровней Лазарев Е.Н. (34ч.) в ауд.1408;Командный проект по искусственному интеллекту Курносов О..(вебинары);;Средства и инструменты программной инженерии Архипов К. по неч. нед. практика в ауд.1310-1311 (по чет.нед. практика вебинары) ( 9.04 в онлайн https://my.mts-link.ru/j/MTC/16653085331
08.30-10.00;;;;;;Иностранный язык в профессиональной сфере (1-9 нед): Муфазалова Н.И. (онлайн по 1 мая)в 1301, Бибик Е.А. в 1302, Гатиятуллина Г.М. в 1303 Тагиров Р.М. в 1304, Шарифуллина А.Э.
